name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"RYCHEL, KERBY",Columbus,5,52:49,0,3,3,3,4,7,10,0.00,0.00,3.41,3.41,3.41,4.54,7.95,11.36,0.0,100.0,100.0
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"CROSBY, SIDNEY",Pittsburgh,256,3845:16,73,126,83,199,563,750,912,12.97,1.14,1.97,1.30,3.11,8.78,11.70,14.23,30.5,52.7,83.3
"DANO, MARKO",Columbus,35,446:11,8,12,7,20,80,98,123,10.00,1.08,1.61,0.94,2.69,10.76,13.18,16.54,33.3,50.0,83.3
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"BENN, JAMIE",Dallas,344,4759:51,87,122,61,209,736,1031,1359,11.82,1.10,1.54,0.77,2.63,9.28,13.00,17.13,33.5,46.9,80.4
"MALKIN, EVGENI",Pittsburgh,278,4000:47,74,101,66,175,583,788,996,12.69,1.11,1.51,0.99,2.62,8.74,11.82,14.94,33.9,46.3,80.3
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"TARASENKO, VLADIMIR",St. Louis,179,2297:49,43,52,33,95,364,548,726,11.81,1.12,1.36,0.86,2.48,9.50,14.31,18.96,35.8,43.3,79.2
"STAMKOS, STEVEN",Tampa Bay,331,5028:45,119,88,61,207,714,1012,1293,16.67,1.42,1.05,0.73,2.47,8.52,12.07,15.43,43.9,32.5,76.4
"PASTRNAK, DAVID",Boston,46,534:49,7,15,7,22,76,111,144,9.21,0.79,1.68,0.79,2.47,8.53,12.45,16.16,25.9,55.6,81.5
"TOEWS, JONATHAN",Chicago,343,4953:49,92,110,73,202,662,822,988,13.90,1.11,1.33,0.88,2.45,8.02,9.96,11.97,32.9,39.3,72.1
"PALAT, ONDREJ",Tampa Bay,170,2175:33,26,62,35,88,249,350,458,10.44,0.72,1.71,0.97,2.43,6.87,9.65,12.63,20.8,49.6,70.4
"SEGUIN, TYLER",Dallas,354,4758:27,87,102,71,189,810,1095,1371,10.74,1.10,1.29,0.90,2.38,10.21,13.81,17.29,33.9,39.7,73.5
